id_cliente,sex,fecha_nacimiento_cliente,num_doc,first,middle,last,email,district_id
208,Female,1960-06-25,748-20-4758,Khloe,Aubree,Fisher,khloe.fisher@gmail.com,13
209,Male,1955-08-20,624-06-1580,Theodore,Klayton,Hayes,theodore.hayes@gmail.com,13
210,Male,1959-11-30,424-91-4398,Elias,Maximillian,Chavez,elias.chavez@gmail.com,66
211,Female,1965-06-28,985-32-0227,Alexandra,Aurora,Henderson,alexandra.henderson@outlook.com,66
212,Male,1995-02-10,912-92-5566,Tristan,Myron,Gibson,tristan.gibson@gmail.com,52
215,Male,1987-09-24,760-72-7249,Roman,Terence,Bryant,roman.bryant@gmail.com,71
216,Male,1980-01-30,224-98-3679,Leonardo,Zaidyn,Ellis,leonardo.ellis@gmail.com,1
217,Female,1994-12-22,199-53-8149,Hadley,Melanie,Coleman,hadley.coleman@gmail.com,59
218,Female,2000-01-23,274-99-0576,Eliana,Lydia,Simmons,eliana.simmons@gmail.com,1
219,Female,1984-04-02,793-15-4610,Sophie,Brianna,Patterson,sophie.brianna.patterson@gmail.com,60
221,Female,1997-02-25,321-74-0124,London,Ruby,Jordan,london.jordan@gmail.com,21
222,Female,1992-06-29,308-83-3922,Elena,Katherine,Reynolds,elena.reynolds@hotmail.com,47
223,Female,1972-02-27,477-11-8962,Kimberly,Ashley,Hamilton,kimberly.hamilton@gmail.com,43
224,Male,1975-05-11,905-29-2853,Camden,Alexavier,Stevens,camden.stevens@gmail.com,77
225,Male,1956-05-10,311-36-5685,Brody,Ambrose,Murray,brody.murray@gmail.com,32
226,Male,1962-06-16,783-00-3512,Luis,Amias,Ford,luis.ford@outlook.com,1
227,Female,1946-12-18,762-42-9620,Bailey,Alexis,Graham,bailey.graham@gmail.com,52
228,Female,1976-03-16,724-68-4729,Maria,Alice,Kim,maria.kim@gmail.com,48
229,Male,1989-07-22,916-57-2539,Miles,Anas,Marshall,miles.marshall@gmail.com,76
230,Female,1987-03-10,494-28-1512,Luna,Cora,Gonzales,luna.gonzales@gmail.com,74
231,Male,1961-02-18,679-18-9000,Micah,Aryeh,Owens,micah.owens@gmail.com,41
232,Female,1941-06-17,912-72-8534,Willow,Julia,Alexander,willow.alexander@outlook.com,55
233,Female,1978-12-03,815-35-6661,Jasmine,Madeline,Ramos,jasmine.ramos@gmail.com,69
234,Male,1975-06-21,554-77-3548,Vincent,Brigham,Mcdonald,vincent.mcdonald@gmail.com,69
235,Female,1963-08-28,655-00-2608,Kinsley,Faith,Wallace,kinsley.wallace@gmail.com,44
236,Male,1981-09-01,867-17-5339,Justin,Fred,Harrison,justin.harrison@gmail.com,70
237,Female,1989-02-22,733-21-0370,Valentina,Annabelle,Griffin,valentina.griffin@gmail.com,70
238,Female,1981-11-28,598-02-1572,Kayla,Alyssa,West,kayla.alyssa.west@gmail.com,6
239,Female,1994-09-10,685-00-3355,Delilah,Isabelle,Cole,delilah.cole@gmail.com,1
240,Female,1949-06-17,420-20-8920,Andrea,Vivian,Hayes,andrea.hayes@hotmail.com,34
241,Male,1979-01-23,259-61-5228,Greyson,Irving,Ruiz,greyson.ruiz@gmail.com,70
242,Female,1981-08-01,946-45-2039,Natalia,Gianna,Chavez,natalia.chavez@gmail.com,17
243,Male,1974-02-10,928-04-9339,Declan,Jakobi,Kennedy,declan.kennedy@gmail.com,63
246,Female,1990-12-28,253-99-9115,Lauren,Quinn,Gibson,lauren.gibson@outlook.com,67
247,Male,1977-05-08,756-60-4622,Maxwell,Jaquan,Wells,maxwell.wells@gmail.com,1
248,Female,1989-12-12,431-91-5752,Morgan,Clara,Bryant,morgan.bryant@gmail.com,61
249,Male,1990-05-05,763-38-4039,Juan,Kyng,Alvarez,juan.alvarez@gmail.com,61
250,Female,1999-11-25,144-88-6104,Rylee,Reagan,Ellis,rylee.ellis@gmail.com,8
251,Female,1996-03-03,973-42-7192,Sydney,Khloe,Stevens,sydney.stevens@gmail.com,54
252,Female,1989-09-01,941-66-8699,Adalynn,Alexandra,Murray,adalynn.murray@outlook.com,37
253,Female,1967-05-12,194-28-4330,Mary,Hadley,Ford,mary.ford@gmail.com,48
254,Male,1983-05-30,660-83-5270,Cole,Kyzer,Woods,cole.woods@gmail.com,28
255,Female,1971-10-11,245-67-4925,Ximena,Eliana,Marshall,ximena.marshall@gmail.com,27
256,Female,1983-02-27,737-46-8186,Jade,Sophie,Owens,jade.owens@gmail.com,73
257,Female,1962-11-04,698-95-8435,Liliana,London,Mcdonald,liliana.mcdonald@gmail.com,22
258,Male,1957-05-31,788-97-5972,Damian,Lester,Mendoza,damian.lester.mendoza@gmail.com,22
259,Male,1986-06-08,341-65-8521,Carlos,Marko,Castillo,carlos.castillo@gmail.com,31
260,Female,1982-02-24,922-36-0986,Brielle,Elena,Harrison,brielle.harrison@hotmail.com,31
261,Female,1957-12-07,518-61-1915,Ivy,Kimberly,Ruiz,ivy.ruiz@gmail.com,38
262,Male,1965-11-25,460-67-7887,Max,Mauro,Olson,max.olson@gmail.com,77
263,Male,1982-05-20,154-17-6446,Harrison,Niklaus,Webb,harrison.webb@gmail.com,68
264,Male,1998-08-22,489-84-0489,Weston,Osiris,Washington,weston.washington@outlook.com,28
265,Female,1953-01-07,253-76-9723,Trinity,Bailey,Kennedy,trinity.kennedy@gmail.com,72
266,Female,1987-08-28,465-94-8869,Josephine,Maria,Wells,josephine.wells@gmail.com,19
267,Male,1987-06-12,924-23-0125,Brantley,Steele,Tucker,brantley.tucker@gmail.com,37
268,Female,2002-05-02,980-36-3058,Adalyn,Luna,Alvarez,adalyn.alvarez@gmail.com,39
269,Female,1943-12-03,129-46-7311,Jocelyn,Willow,Woods,jocelyn.woods@gmail.com,15
270,Male,1967-03-08,187-36-7942,Braxton,Braulio,Freeman,braxton.freeman@outlook.com,46
271,Female,1965-07-27,591-41-5665,Emery,Jasmine,Mendoza,emery.mendoza@gmail.com,46
272,Female,1964-10-25,771-42-1816,Adeline,Kinsley,Castillo,adeline.castillo@gmail.com,70
273,Female,1992-05-15,386-19-2574,Jordyn,Valentina,Olson,jordyn.olson@gmail.com,27
274,Female,1990-11-25,199-07-9303,Ariel,Kayla,Webb,ariel.webb@gmail.com,17
275,Female,1938-11-12,839-50-0559,Everly,Delilah,Washington,everly.washington@gmail.com,1
276,Male,1977-06-11,274-21-3831,Axel,Efren,Burns,axel.efren.burns@gmail.com,1
277,Female,1981-11-28,154-20-9922,Lilly,Andrea,Tucker,lilly.tucker@gmail.com,1
278,Female,1992-12-27,485-70-5521,Paige,Natalia,Freeman,paige.freeman@hotmail.com,22
279,Male,1990-05-16,777-95-9636,Diego,Eithan,Henry,diego.henry@gmail.com,22
280,Female,1989-12-18,230-67-3604,Isla,Lauren,Burns,isla.burns@gmail.com,45
282,Female,1958-02-24,356-05-3039,Lyla,Morgan,Henry,lyla.henry@gmail.com,73
283,Male,1953-11-04,321-99-2550,Abel,Evander,Vasquez,abel.vasquez@outlook.com,73
284,Male,1994-08-06,857-83-9121,Wesley,Gianluca,Snyder,wesley.snyder@gmail.com,10
285,Male,1974-06-03,506-12-8404,Santiago,Khaled,Simpson,santiago.simpson@gmail.com,72
286,Female,1972-04-18,305-42-5307,Makayla,Rylee,Vasquez,makayla.vasquez@gmail.com,72
287,Male,2000-09-09,721-43-8182,Jesus,Luther,Crawford,jesus.crawford@gmail.com,50
288,Male,1982-04-21,986-25-8079,Silas,Osman,Jimenez,silas.jimenez@gmail.com,6
289,Male,1978-03-27,822-91-8084,Giovanni,Ash,Porter,giovanni.porter@outlook.com,54
290,Male,1979-01-12,370-88-3443,Bryce,Beaux,Mason,bryce.mason@gmail.com,72
291,Female,1975-04-27,827-90-2474,Molly,Sydney,Snyder,molly.snyder@gmail.com,72
292,Female,1978-09-06,444-99-4495,Emilia,Adalynn,Simpson,emilia.simpson@gmail.com,15
293,Male,1963-09-27,191-79-2838,Jayce,Bjorn,Shaw,jayce.shaw@gmail.com,69
294,Male,1988-03-21,591-57-1099,Bryson,Chester,Gordon,bryson.gordon@gmail.com,58
295,Male,1959-03-27,258-57-2037,Alex,Denim,Wagner,alex.denim.wagner@gmail.com,12
296,Male,1994-03-01,759-35-8983,Everett,Ender,Hunter,everett.hunter@gmail.com,65
297,Female,1944-03-15,204-72-6405,Mya,Mary,Crawford,mya.crawford@hotmail.com,65
298,Male,1941-06-13,531-76-7670,George,Jaidyn,Romero,george.romero@gmail.com,65
300,Female,1977-07-30,524-31-1409,Kendall,Ximena,Jimenez,kendall.jimenez@gmail.com,1
